"","cond","NSub","pse","jnd","slope"
"1","PS",1,1091.89296021081,223.614835388612,2.39886918470998
"2","PS",2,1032.50881626432,184.969385642314,2.49338918389626
"3","PS",3,839.752945235902,317.312101610585,2.18431043217812
"4","PS",4,678.481149098626,193.921712237767,2.47116716738071
"5","PS",5,661.166596338231,246.926711186026,2.34359383351276
"6","PS",6,996.049724206654,299.482445719955,2.22360520067511
"7","PS",7,917.543254403063,220.575033999042,2.40617236507629
"8","PS",8,874.215050069577,227.726088981337,2.38902707073204
"9","PS",9,920.736752960113,189.566908088032,2.48195208246835
"10","PS",10,768.670011335958,163.511194041718,2.54747098034871
"11","PS",11,620.145173774552,150.666135267919,2.58040445822348
"12","PS",12,700.77567951424,107.749832647687,2.69355654492111
"13","PS",13,919.823371081158,119.715432515469,2.66151858404709
"14","PS",14,787.776167131133,215.517498406439,2.41837249273931
"15","PS",15,927.049915801819,105.810635027754,2.69878495118021
"16","NS",1,1176.89196621677,207.375098335988,2.43814423457404
"17","NS",2,1136.43823875344,295.101048923871,2.23336907145373
"18","NS",3,892.324695079556,321.016771113819,2.17623325480875
"19","NS",4,834.369548010934,241.070783819857,2.35735801045455
"20","NS",5,770.944687991202,311.625469045447,2.19676718794196
"21","NS",6,952.642109583114,253.964592686926,2.3271578030856
"22","NS",7,970.269640222397,245.11270004864,2.3478489971185
"23","NS",8,1030.41101891781,201.159962479709,2.45334482015081
"24","NS",9,863.658358805737,175.767992843301,2.51643771384891
"25","NS",10,901.031124359325,181.86571066369,2.50113987510975
"26","NS",11,620.397951524654,246.964456351548,2.34350537584504
"27","NS",12,881.99659752329,118.368480667227,2.6651059368764
"28","NS",13,1026.77363597,166.59681596814,2.53962256288644
"29","NS",14,840.673751887997,211.743441235485,2.42751681352836
"30","NS",15,1126.89291997911,186.89338206914,2.48859652402444
"31","DF",1,777.284148208416,140.829679190388,1.37895799857297
"32","DF",2,693.947570388663,171.319238550394,1.49879989559667
"33","DF",3,815.433398879267,109.493535157707,1.32734258861531
"34","DF",4,820.19746485386,92.8078676854053,1.32103407995963
"35","DF",5,997.090798340086,154.857088781824,1.10685370478554
"36","DF",6,1160.03083428814,203.538246183455,0.940429544725197
"37","DF",7,813.94575890309,132.428296924657,1.32931866599363
"38","DF",8,816.012193742632,121.06384393851,1.32657455183241
"39","DF",9,788.386110068344,138.664213243042,1.36373352659221
"40","DF",10,561.886603411879,640.043040263384,1.71039730435629
"41","DF",11,835.740394452642,199.943612605542,1.30066008619789
"42","DF",12,867.831358485696,100.481519254314,1.25958327254457
"43","DF",13,754.665937545898,192.149474074078,1.41050296157678
"44","DF",14,704.792977317154,126.572330871323,1.48263262958364
"45","DF",15,930.448282990476,146.938511893027,1.18313063487834
"46","AF",1,909.924156665352,140.103505378996,1.20766426191238
"47","AF",2,865.47808185991,240.049877508425,1.26255091088551
"48","AF",3,826.866103305461,217.476820345993,1.31225388979346
"49","AF",4,1064.98505317356,168.160671512472,1.03419902217943
"50","AF",5,1030.88685167217,180.031834468595,1.0700714661052
"51","AF",6,1409.06839407276,238.852336973425,0.733112503382204
"52","AF",7,1023.01780650213,222.621424293443,1.07852512429408
"53","AF",8,787.420253610176,125.43351432919,1.36505133372991
"54","AF",9,853.463485944299,167.237617170281,1.2778114408817
"55","AF",10,866.521180822212,756.923486423869,1.26123463196445
"56","AF",11,1032.16116605645,251.922950283632,1.0687087271071
"57","AF",12,1038.79803111742,115.714373969865,1.06163933674012
"58","AF",13,1252.09257461698,177.146297940297,0.85771767312222
"59","AF",14,924.353091383164,235.970227545301,1.1903640649713
"60","AF",15,1075.01154166201,158.831533579917,1.02388144854116
"61","U-shaped",1,950.371440830841,113.45943007172,1.15979219616938
"62","U-shaped",2,805.373374605955,231.328334007211,1.34076307932307
"63","U-shaped",3,1183.97437659181,120.6472528492,0.918179762400243
"64","U-shaped",4,921.951936505118,215.8888476676,1.19322574774941
"65","U-shaped",5,896.079164355861,242.265423735788,1.22450064519187
"66","U-shaped",6,739.375138008937,86.1622498847089,1.43223641711045
"67","U-shaped",7,937.803924088574,227.279375033643,1.17445987913423
"68","U-shaped",8,774.810785215134,138.392036194977,1.38237288364022
"69","U-shaped",9,711.591431503879,149.24600514925,1.47258720494601
"70","U-shaped",10,990.694920559127,215.276858497426,1.11395569331785
"71","U-shaped",11,801.294805624785,266.020188553928,1.34624264081835
"72","U-shaped",12,795.031910054288,232.161553458328,1.35470047551234
"73","U-shaped",13,880.201327352182,192.690187529041,1.24409823882544
"74","U-shaped",14,823.955286221111,347.579907050242,1.31607918550199
"75","U-shaped",15,869.99661756443,134.606386043073,1.25685889897997
"76","I T-shaped",1,927.605761819696,85.4795938546395,1.18649849309225
"77","I T-shaped",2,872.243097650709,133.328316407354,1.25403855959639
"78","I T-shaped",3,846.939290381915,99.3000241118327,1.28617538695611
"79","I T-shaped",4,931.08489258111,124.046585965972,1.18237768226306
"80","I T-shaped",5,983.136673168924,243.36465203454,1.12240714487664
"81","I T-shaped",6,868.377655663729,97.2613017234917,1.25889535367846
"82","I T-shaped",7,1057.05707919314,151.883251765863,1.04243071231512
"83","I T-shaped",8,920.858435396275,102.838987905454,1.19453125508444
"84","I T-shaped",9,829.952802086236,121.177895458286,1.30820960227151
"85","I T-shaped",10,896.200047200312,126.021600204141,1.22435263301709
"86","I T-shaped",11,812.795087074341,205.428238664182,1.33084915591097
"87","I T-shaped",12,678.194054380053,181.921615594341,1.52259822525555
"88","I T-shaped",13,699.199139678247,85.1534033440547,1.49094947564809
"89","I T-shaped",14,753.018572668747,157.529324701343,1.41282848958546
"90","I T-shaped",15,878.676857455878,110.372759733131,1.24599627552089
