"","NSub","DF_pse","DF_jnd","DF_slope","AF_pse","AF_jnd","AF_slope"
"1",1,"778.936553420024","82.2260250435934","1.37668128273614","910.797753355796","89.3346806930806","1.20660971110313"
"2",2,"695.14491705274","105.453910276465","1.49700638648191","864.817237245084","135.735237482284","1.2633855366045"
"3",3,"815.098815322695","64.3973326502023","1.32778676992313","829.622517909272","126.828031315954","1.3086417545659"
"4",4,"815.717824121319","53.667836751547","1.32696511256266","1066.63340896323","103.416509981228","1.03249569846098"
"5",5,"998.908394864104","95.5737288499958","1.10484371856447","1025.18602714156","109.354577098447","1.07618917719893"
"6",6,"1158.0529216096","123.298527697367","0.942291473003746","1411.19073047417","151.787306914371","0.731558241946161"
"7",7,"811.175926663868","76.3255043128214","1.33300575964907","1023.6811743638","135.032801397756","1.07780990264237"
"8",8,"813.68204230608","72.7267631867149","1.32966927561733","792.501713007242","75.2589871160524","1.3581324746412"
"9",9,"785.984204796024","80.9658110934868","1.36701302228211","854.018845838623","81.6281832243522","1.2771019926727"
"10",10,"564.933455037223","405.556395975533","1.70519390856238","866.766546753854","505.161431501801","1.26092520591682"
"11",11,"828.675958368801","119.541171182842","1.30988104834388","1026.72440510404","157.122671159077","1.07453486429079"
"12",12,"865.020444308127","62.3884797156474","1.2631288338229","1034.95567790401","71.5724683806831","1.06572637695487"
"13",13,"744.483094349026","116.381379450941","1.424939268647","1254.23371389838","107.207512206532","0.855883144811127"
"14",14,"702.718151915845","78.4291371723453","1.48571202692552","919.605481281213","134.774337409171","1.19602888597154"
"15",15,"929.073243105433","88.0600006494533","1.18475860569641","1076.08965537335","97.4610346741777","1.02277818274256"
